,CustomerId,TransactionStartTime,Value,Amount,IssuedDateLoan,AmountLoan,PaidOnDate,IsFinalPayBack,DueDate,PayBackId,IsThirdPartyConfirmed,IsDefaulted,ProductCategory_airtime,ProductCategory_data_bundles,ProductCategory_financial_services,ProductCategory_movies,ProductCategory_retail,ProductCategory_tv,ProductCategory_utility_bill
15,CustomerId_233,10/22/2018 16:04,5000.0,-5000.0,10/22/2018 16:04,5375.0,10/30/2018 6:49,1.0,11/21/2018 16:03,PayBackId_1719,0.0,0.0,1,0,0,0,0,0,0
17,CustomerId_305,10/23/2018 13:12,500.0,-500.0,10/23/2018 13:12,543.0,10/23/2018 13:18,1.0,11/22/2018 13:12,PayBackId_725,0.0,0.0,1,0,0,0,0,0,0
18,CustomerId_27,10/23/2018 15:20,1000.0,-1000.0,10/23/2018 15:20,1085.0,10/23/2018 15:26,1.0,11/22/2018 15:20,PayBackId_1085,0.0,0.0,1,0,0,0,0,0,0
19,CustomerId_27,10/23/2018 15:31,500.0,-500.0,10/24/2018 6:34,543.0,10/24/2018 6:38,1.0,11/23/2018 6:33,PayBackId_763,0.0,0.0,1,0,0,0,0,0,0
20,CustomerId_27,10/24/2018 6:56,500.0,-500.0,10/24/2018 6:56,543.0,10/24/2018 7:01,1.0,11/23/2018 6:55,PayBackId_1228,0.0,0.0,0,1,0,0,0,0,0
22,CustomerId_233,10/24/2018 11:37,500.0,-500.0,10/24/2018 11:37,520.0,10/24/2018 11:40,1.0,11/23/2018 11:37,PayBackId_1842,0.0,0.0,1,0,0,0,0,0,0
23,CustomerId_233,10/24/2018 15:28,1000.0,-1000.0,10/24/2018 15:28,1065.0,10/30/2018 6:49,1.0,11/23/2018 15:28,PayBackId_982,0.0,0.0,1,0,0,0,0,0,0
24,CustomerId_474,10/25/2018 10:36,500.0,-500.0,10/25/2018 10:36,520.0,10/25/2018 14:56,1.0,11/24/2018 10:36,PayBackId_317,0.0,0.0,1,0,0,0,0,0,0
26,CustomerId_474,10/26/2018 9:19,10000.0,-10000.0,10/26/2018 9:19,10000.0,5/16/2019 7:25,1.0,11/25/2018 9:18,PayBackId_1899,0.0,1.0,1,0,0,0,0,0,0
27,CustomerId_233,10/26/2018 15:37,5000.0,-5000.0,10/26/2018 15:37,5275.0,10/30/2018 6:48,1.0,11/25/2018 15:37,PayBackId_783,0.0,0.0,1,0,0,0,0,0,0
28,CustomerId_432,10/26/2018 16:12,31766.0,-30840.0,10/26/2018 16:12,30840.0,4/26/2019 16:24,1.0,11/25/2018 16:12,PayBackId_1262,1.0,0.0,0,0,0,0,0,1,0
29,CustomerId_27,10/30/2018 10:25,500.0,-500.0,10/30/2018 10:25,520.0,10/30/2018 10:54,1.0,11/29/2018 10:25,PayBackId_1478,1.0,0.0,0,1,0,0,0,0,0
33,CustomerId_379,11/1/2018 14:53,1500.0,-1500.0,11/1/2018 14:53,1568.0,11/2/2018 15:05,1.0,12/1/2018 14:53,PayBackId_1822,1.0,0.0,1,0,0,0,0,0,0
34,CustomerId_258,11/1/2018 15:23,10000.0,-10000.0,11/1/2018 15:23,11100.0,11/16/2018 12:22,1.0,12/1/2018 15:23,PayBackId_654,1.0,0.0,1,0,0,0,0,0,0
35,CustomerId_405,11/1/2018 16:12,53500.0,-50000.0,11/1/2018 16:12,63398.0,12/6/2018 9:26,0.0,12/1/2018 16:12,PayBackId_165,1.0,0.0,0,0,0,0,0,0,1
36,CustomerId_405,11/1/2018 16:12,53500.0,-50000.0,11/1/2018 16:12,2942.0,12/11/2018 17:00,1.0,12/1/2018 16:12,PayBackId_1908,1.0,0.0,0,0,0,0,0,0,1
37,CustomerId_474,11/1/2018 17:56,5000.0,-5000.0,11/1/2018 17:56,500.0,7/15/2019 9:12,0.0,12/1/2018 17:56,PayBackId_1295,1.0,1.0,1,0,0,0,0,0,0
40,CustomerId_233,11/2/2018 6:53,500.0,-500.0,11/2/2018 6:53,633.0,12/17/2018 15:00,1.0,12/2/2018 6:53,PayBackId_719,1.0,0.0,1,0,0,0,0,0,0
41,CustomerId_233,11/2/2018 7:07,500.0,-500.0,11/2/2018 7:07,633.0,12/17/2018 15:01,1.0,12/2/2018 7:07,PayBackId_1198,1.0,0.0,0,0,0,1,0,0,0
48,CustomerId_144,11/2/2018 23:50,1000.0,-1000.0,11/2/2018 23:50,1040.0,11/2/2018 23:58,1.0,12/2/2018 23:50,PayBackId_185,1.0,0.0,1,0,0,0,0,0,0
49,CustomerId_144,11/3/2018 0:09,11200.0,-10000.0,11/3/2018 0:09,11760.0,11/8/2018 9:41,0.0,12/3/2018 0:09,PayBackId_270,1.0,0.0,0,0,0,0,0,0,1
50,CustomerId_144,11/3/2018 0:09,11200.0,-10000.0,11/3/2018 0:09,168.0,11/8/2018 16:54,1.0,12/3/2018 0:09,PayBackId_1628,1.0,0.0,0,0,0,0,0,0,1
53,CustomerId_233,11/3/2018 9:57,5000.0,-5000.0,11/3/2018 9:57,6300.0,12/17/2018 15:03,1.0,12/3/2018 9:57,PayBackId_1185,1.0,0.0,1,0,0,0,0,0,0
54,CustomerId_379,11/3/2018 12:09,1500.0,-1500.0,11/3/2018 12:09,1598.0,11/9/2018 3:54,1.0,12/3/2018 12:09,PayBackId_1270,1.0,0.0,1,0,0,0,0,0,0
61,CustomerId_136,11/5/2018 17:01,3000.0,-3000.0,11/5/2018 17:01,3270.0,11/15/2018 21:58,1.0,12/5/2018 17:01,PayBackId_993,1.0,0.0,1,0,0,0,0,0,0
65,CustomerId_233,11/7/2018 12:18,5000.0,-5000.0,11/7/2018 12:18,6200.0,12/17/2018 15:05,1.0,12/7/2018 12:18,PayBackId_813,1.0,0.0,1,0,0,0,0,0,0
66,CustomerId_233,11/7/2018 13:05,10000.0,-10000.0,11/7/2018 13:05,12400.0,12/17/2018 15:07,1.0,12/7/2018 13:05,PayBackId_367,1.0,0.0,0,0,0,1,0,0,0
68,CustomerId_388,11/7/2018 20:32,20000.0,-20000.0,11/7/2018 20:32,20900.0,11/9/2018 8:54,1.0,12/7/2018 20:32,PayBackId_1380,1.0,0.0,0,1,0,0,0,0,0
71,CustomerId_136,11/8/2018 20:40,21800.0,-20000.0,11/8/2018 20:40,22000.0,12/7/2018 17:10,0.0,12/8/2018 20:40,PayBackId_496,1.0,0.0,0,0,0,0,0,0,1
72,CustomerId_136,11/8/2018 20:40,21800.0,-20000.0,11/8/2018 20:40,3833.0,12/8/2018 7:34,1.0,12/8/2018 20:40,PayBackId_678,1.0,0.0,0,0,0,0,0,0,1
73,CustomerId_379,11/9/2018 6:57,1500.0,-1500.0,11/9/2018 6:57,2346.0,2/26/2019 21:35,0.0,12/9/2018 6:57,PayBackId_931,1.0,0.0,1,0,0,0,0,0,0
77,CustomerId_233,11/9/2018 12:32,5000.0,-5000.0,11/9/2018 12:32,6150.0,12/17/2018 15:20,1.0,12/9/2018 12:32,PayBackId_121,1.0,0.0,1,0,0,0,0,0,0
78,CustomerId_144,11/9/2018 12:54,2145.0,-1500.0,11/9/2018 12:54,2521.0,12/7/2018 8:41,1.0,12/9/2018 12:54,PayBackId_1408,1.0,0.0,0,0,0,0,0,0,1
79,CustomerId_405,11/9/2018 17:37,5000.0,-5000.0,11/9/2018 17:37,5725.0,11/30/2018 21:28,1.0,12/9/2018 17:37,PayBackId_233,1.0,0.0,0,1,0,0,0,0,0
80,CustomerId_258,11/9/2018 18:07,10000.0,-10000.0,11/9/2018 18:07,10700.0,11/16/2018 12:22,1.0,12/9/2018 18:07,PayBackId_1133,1.0,0.0,1,0,0,0,0,0,0
82,CustomerId_258,11/10/2018 20:19,5000.0,-5000.0,11/10/2018 20:19,5325.0,11/16/2018 12:23,1.0,12/10/2018 20:19,PayBackId_532,1.0,0.0,1,0,0,0,0,0,0
83,CustomerId_388,11/11/2018 11:39,24660.0,-22000.0,11/11/2018 11:39,28606.0,12/6/2018 7:39,1.0,12/11/2018 11:39,PayBackId_740,1.0,0.0,0,0,0,0,0,0,1
84,CustomerId_405,11/11/2018 15:21,28840.0,-28000.0,11/11/2018 15:21,35004.0,12/6/2018 9:28,0.0,12/11/2018 15:21,PayBackId_83,1.0,0.0,0,0,0,0,0,1,0
85,CustomerId_405,11/11/2018 15:21,28840.0,-28000.0,11/11/2018 15:21,1696.0,12/12/2018 8:05,1.0,12/11/2018 15:21,PayBackId_459,1.0,0.0,0,0,0,0,0,1,0
86,CustomerId_233,11/13/2018 15:48,10000.0,-10000.0,11/13/2018 15:48,12050.0,12/17/2018 15:19,1.0,12/13/2018 15:48,PayBackId_1244,1.0,0.0,0,0,0,1,0,0,0
87,CustomerId_193,11/14/2018 8:09,500.0,-500.0,11/14/2018 8:09,533.0,11/20/2018 6:40,1.0,12/14/2018 8:09,PayBackId_1682,1.0,0.0,1,0,0,0,0,0,0
88,CustomerId_315,11/14/2018 10:34,10000.0,-10000.0,11/14/2018 10:34,7000.0,12/2/2018 14:14,0.0,12/14/2018 10:34,PayBackId_1735,1.0,0.0,1,0,0,0,0,0,0
89,CustomerId_315,11/14/2018 10:34,10000.0,-10000.0,11/14/2018 10:34,7650.0,2/7/2019 11:21,1.0,12/14/2018 10:34,PayBackId_863,1.0,0.0,1,0,0,0,0,0,0
91,CustomerId_125,11/14/2018 14:07,1000.0,-1000.0,11/14/2018 14:07,1135.0,12/4/2018 13:58,1.0,12/14/2018 14:07,PayBackId_827,1.0,0.0,1,0,0,0,0,0,0
92,CustomerId_193,11/14/2018 19:31,1000.0,-1000.0,11/14/2018 19:31,1040.0,11/15/2018 9:36,1.0,12/14/2018 19:31,PayBackId_1759,1.0,0.0,1,0,0,0,0,0,0
93,CustomerId_71,11/15/2018 18:00,2000.0,-2000.0,11/15/2018 18:00,2410.0,12/19/2018 14:12,1.0,12/15/2018 18:00,PayBackId_994,1.0,0.0,1,0,0,0,0,0,0
99,CustomerId_492,11/16/2018 4:51,11200.0,-10000.0,11/16/2018 4:51,12432.0,11/30/2018 15:59,1.0,12/16/2018 4:51,PayBackId_684,1.0,0.0,0,0,0,0,0,0,1
100,CustomerId_502,11/16/2018 11:17,14000.0,-10000.0,11/16/2018 11:17,23660.0,3/27/2019 6:58,1.0,12/16/2018 11:17,PayBackId_1629,1.0,0.0,0,0,0,1,0,0,0
101,CustomerId_425,11/16/2018 15:18,2000.0,-2000.0,11/16/2018 15:18,2080.0,11/17/2018 11:56,1.0,12/16/2018 15:18,PayBackId_612,1.0,0.0,0,1,0,0,0,0,0
102,CustomerId_425,11/16/2018 15:23,11000.0,-11000.0,11/16/2018 15:23,11440.0,11/17/2018 12:17,1.0,12/16/2018 15:23,PayBackId_1713,1.0,0.0,0,0,0,0,0,1,0
106,CustomerId_279,11/17/2018 11:09,19740.0,-18000.0,11/17/2018 11:09,22011.0,12/3/2018 8:11,1.0,12/17/2018 11:08,PayBackId_6,1.0,0.0,0,0,0,0,0,0,1
108,CustomerId_71,11/17/2018 19:24,2000.0,-2000.0,11/17/2018 19:24,2390.0,12/19/2018 14:14,1.0,12/17/2018 19:24,PayBackId_1112,1.0,0.0,1,0,0,0,0,0,0
109,CustomerId_71,11/17/2018 19:24,2000.0,-2000.0,11/17/2018 19:24,2390.0,12/19/2018 14:16,1.0,12/17/2018 19:24,PayBackId_1099,1.0,0.0,1,0,0,0,0,0,0
111,CustomerId_233,11/18/2018 13:14,500.0,-500.0,11/18/2018 13:14,593.0,12/17/2018 15:06,1.0,12/18/2018 13:14,PayBackId_1024,1.0,0.0,1,0,0,0,0,0,0
112,CustomerId_233,11/19/2018 4:20,5000.0,-5000.0,11/19/2018 4:20,5900.0,12/17/2018 15:08,1.0,12/19/2018 4:20,PayBackId_1465,1.0,0.0,1,0,0,0,0,0,0
114,CustomerId_1,11/19/2018 6:13,2000.0,-2000.0,11/19/2018 6:13,2970.0,7/15/2019 12:51,1.0,12/19/2018 6:13,PayBackId_128,1.0,0.0,0,1,0,0,0,0,0
115,CustomerId_249,11/19/2018 16:38,12000.0,-12000.0,11/19/2018 16:38,2000.0,11/24/2018 11:00,0.0,12/19/2018 16:37,PayBackId_1344,1.0,0.0,0,0,0,0,0,1,0
116,CustomerId_249,11/19/2018 16:38,12000.0,-12000.0,11/19/2018 16:38,15880.0,2/18/2019 16:09,1.0,12/19/2018 16:37,PayBackId_477,1.0,0.0,0,0,0,0,0,1,0
118,CustomerId_57,11/20/2018 6:21,7000.0,-7000.0,11/20/2018 6:21,7525.0,11/27/2018 18:43,1.0,12/20/2018 6:21,PayBackId_106,1.0,0.0,0,1,0,0,0,0,0
119,CustomerId_493,11/20/2018 11:20,5750.0,-5000.0,11/20/2018 11:20,6038.0,11/22/2018 11:46,1.0,12/20/2018 11:20,PayBackId_260,1.0,0.0,0,0,0,0,0,0,1
120,CustomerId_233,11/20/2018 14:49,2000.0,-2000.0,11/20/2018 14:49,2350.0,12/17/2018 15:10,1.0,12/20/2018 14:48,PayBackId_718,1.0,0.0,1,0,0,0,0,0,0
121,CustomerId_193,11/20/2018 15:32,1000.0,-1000.0,11/20/2018 15:32,500.0,11/20/2018 15:33,0.0,12/20/2018 15:32,PayBackId_868,1.0,0.0,1,0,0,0,0,0,0
122,CustomerId_193,11/20/2018 15:32,1000.0,-1000.0,11/20/2018 15:32,555.0,11/23/2018 19:19,1.0,12/20/2018 15:32,PayBackId_870,1.0,0.0,1,0,0,0,0,0,0
123,CustomerId_405,11/20/2018 19:26,2000.0,-2000.0,11/20/2018 19:26,2180.0,11/30/2018 21:29,1.0,12/20/2018 19:26,PayBackId_1886,1.0,0.0,0,1,0,0,0,0,0
126,CustomerId_233,11/21/2018 9:49,3000.0,-3000.0,11/21/2018 9:49,3510.0,12/17/2018 15:11,1.0,12/21/2018 9:48,PayBackId_1619,1.0,0.0,1,0,0,0,0,0,0
127,CustomerId_379,11/21/2018 20:53,1500.0,-1500.0,11/21/2018 20:53,2228.0,6/9/2019 12:52,1.0,12/21/2018 20:52,PayBackId_1852,1.0,0.0,1,0,0,0,0,0,0
128,CustomerId_31,11/22/2018 6:13,2000.0,-2000.0,11/22/2018 6:13,2090.0,11/23/2018 14:37,1.0,12/22/2018 6:13,PayBackId_1804,1.0,0.0,0,1,0,0,0,0,0
129,CustomerId_493,11/22/2018 12:23,10000.0,-10000.0,11/22/2018 12:22,10950.0,12/4/2018 8:23,1.0,12/22/2018 12:22,PayBackId_445,1.0,0.0,0,1,0,0,0,0,0
131,CustomerId_31,11/22/2018 19:19,2000.0,-2000.0,11/22/2018 19:19,2080.0,11/23/2018 14:36,1.0,12/22/2018 19:19,PayBackId_1121,1.0,0.0,1,0,0,0,0,0,0
132,CustomerId_233,11/23/2018 8:33,2000.0,-2000.0,11/23/2018 8:33,2320.0,12/17/2018 15:13,1.0,12/23/2018 8:33,PayBackId_986,1.0,0.0,1,0,0,0,0,0,0
136,CustomerId_193,11/23/2018 19:21,1000.0,-1000.0,11/23/2018 19:21,1060.0,11/28/2018 15:08,1.0,12/23/2018 19:21,PayBackId_1650,1.0,0.0,1,0,0,0,0,0,0
137,CustomerId_47,11/23/2018 23:23,3500.0,-3500.0,11/23/2018 23:23,3868.0,12/7/2018 6:39,1.0,12/23/2018 23:23,PayBackId_1815,1.0,0.0,1,0,0,0,0,0,0
138,CustomerId_168,11/24/2018 10:40,5000.0,-5000.0,11/24/2018 10:40,900.0,12/1/2018 7:06,0.0,12/24/2018 10:40,PayBackId_1315,1.0,0.0,1,0,0,0,0,0,0
139,CustomerId_168,11/24/2018 10:40,5000.0,-5000.0,11/24/2018 10:40,4625.0,12/7/2018 14:07,1.0,12/24/2018 10:40,PayBackId_1979,1.0,0.0,1,0,0,0,0,0,0
140,CustomerId_390,11/24/2018 14:19,1000.0,-1000.0,11/24/2018 14:19,500.0,11/24/2018 14:21,0.0,12/24/2018 14:19,PayBackId_1369,1.0,0.0,1,0,0,0,0,0,0
141,CustomerId_390,11/24/2018 14:19,1000.0,-1000.0,11/24/2018 14:19,545.0,11/25/2018 16:25,1.0,12/24/2018 14:19,PayBackId_997,1.0,0.0,1,0,0,0,0,0,0
142,CustomerId_419,11/24/2018 15:28,5000.0,-5000.0,11/24/2018 15:28,5325.0,11/30/2018 15:06,1.0,12/24/2018 15:27,PayBackId_1124,1.0,0.0,1,0,0,0,0,0,0
